HUC12,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel,Place
20600050506,400796,BAY655,SWM,CMON,MDDNR,MDDNR,XFG2810,8/24/2015,8:15:00,3.2,,,2.9,BS,D,S1,TDP,,0.0311,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,400795,BAY654,SWM,CMON,MDDNR,MDDNR,XFG2810,8/10/2015,9:30:00,3.5,,,3.2,BS,D,S1,TDP,,0.0187,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,400749,BAY647,SWM,CMON,MDDNR,MDDNR,XFG2810,4/23/2015,9:45:00,3.2,,,2.9,BS,D,S1,TDP,,0.0094,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,400748,BAY646,SWM,CMON,MDDNR,MDDNR,XFG2810,4/2/2015,8:00:00,3.2,,,2.9,BS,D,S1,TDP,,0.0072,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,400699,BAY653,SWM,CMON,MDDNR,MDDNR,XFG2810,7/27/2015,9:30:00,3.8,,,3.5,BS,D,S1,TDP,,0.0145,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,400698,BAY652,SWM,CMON,MDDNR,MDDNR,XFG2810,7/13/2015,8:30:00,3.2,,,2.9,BS,D,S1,TDP,,0.0107,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,400645,BAY651,SWM,CMON,MDDNR,MDDNR,XFG2810,6/25/2015,9:00:00,3.4,,,3.1,BS,D,S1,TDP,,0.0083,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,400644,BAY650,SWM,CMON,MDDNR,MDDNR,XFG2810,6/9/2015,9:30:00,3.4,,,3.1,BS,D,S1,TDP,,0.0088,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,400592,BAY649,SWM,CMON,MDDNR,MDDNR,XFG2810,5/28/2015,8:00:00,2.9,,,2.6,BS,D,S1,TDP,,0.0069,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,400591,BAY648,SWM,CMON,MDDNR,MDDNR,XFG2810,5/14/2015,10:15:00,3,,,2.7,BS,D,S1,TDP,,0.01,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,400502,BAY636,SWM,CMON,MDDNR,MDDNR,XFG2810,11/13/2014,9:30:00,3.1,,,2.8,BS,D,S1,TDP,,0.0078,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,400457,BAY635,SWM,CMON,MDDNR,MDDNR,XFG2810,10/30/2014,11:15:00,3.2,,,2.9,BS,D,S1,TDP,,0.0141,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,412530,BAY639,SWM,CMON,MDDNR,MDDNR,XFG4618,12/16/2014,9:45:00,2.7,,,1,S ,D,S1,TDP,,,MG/L,L01 ,CBL,RR,,,,38.74323,-76.30338,T3,Harris Creek-Coptank River
20600050506,412530,BAY639,SWM,CMON,MDDNR,MDDNR,XFG4618,12/16/2014,9:45:00,2.7,,,2,B ,D,S1,TDP,,,MG/L,L01 ,CBL,RR,,,,38.74323,-76.30338,T3,Harris Creek-Coptank River
20600050506,400503,BAY636,SWM,CMON,MDDNR,MDDNR,XFG4618,11/13/2014,10:45:00,2.6,,,1,S ,D,S1,TDP,,,MG/L,L01 ,CBL,RR,,,,38.74323,-76.30338,T3,Harris Creek-Coptank River
20600050506,400503,BAY636,SWM,CMON,MDDNR,MDDNR,XFG4618,11/13/2014,10:45:00,2.6,,,2,B ,D,S1,TDP,,,MG/L,L01 ,CBL,RR,,,,38.74323,-76.30338,T3,Harris Creek-Coptank River
20600050506,400459,BAY635,SWM,CMON,MDDNR,MDDNR,XFG4618,10/30/2014,9:25:00,2.8,,,1,S ,D,S1,TDP,,,MG/L,L01 ,CBL,RR,,,,38.74323,-76.30338,T3,Harris Creek-Coptank River
20600050506,400459,BAY635,SWM,CMON,MDDNR,MDDNR,XFG4618,10/30/2014,9:25:00,2.8,,,2,B ,D,S1,TDP,,,MG/L,L01 ,CBL,RR,,,,38.74323,-76.30338,T3,Harris Creek-Coptank River
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total_Records: 348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
